2002,Fallin',Alicia Keys,Alicia Keys, producer; Kerry “Krucial” Brothers & Russ Elevado, engineer/mixers;
2002,Ms. Jackson,Outkast,Earthtone III, producer; John Frye & Neal H. Pogue, engineer/mixers;
2002,Video,India.Arie,India.Arie & Carlos “Six July” Broady, producers; Kevin Haywood & Mike Shipley, engineer/mixers;
2003,Don't Know Why,Norah Jones,Norah Jones, Arif Mardin & Jay Newland, producers; Arif Mardin & Jay Newland, engineers/mixers;
2003,Dilemma,Nelly featuring Kelly Rowland,Bam & Ryan Bowser, producers; Brian Garten, engineer/mixer;
2003,How You Remind Me,Nickelback,Nickelback & Rick Parashar, producers; Joey Moi & Randy Staub, engineers/mixers;
2003,A Thousand Miles,Vanessa Carlton,Ron Fair, producer; Tal Herzberg, Jack Joseph Puig & Michael C. Ross, engineers/mixers;
2003,Without Me,Eminem,Jeff Bass & Eminem, producers; Steve King, engineer/mixer;
2004,Clocks,Coldplay,Coldplay & Ken Nelson, producers; Coldplay, Ken Nelson & Mark Phythian, engineers/mixers;
2004,Crazy in Love,Beyoncé featuring Jay-Z,Rich Harrison & Beyoncé Knowles, producers; Jim Caruana & Tony Maserati, engineers/mixers;
2004,Hey Ya!,Outkast,André 3000, producer; Kevin “KD” Davis, John Frye, Robert Hannon, Pete Novak & Neal Pogue, engineers/mixers;
2004,Lose Yourself,Eminem,Eminem, producer; Eminem, Steve King & Micheal Strange Jr., engineers/mixers;
2004,Where Is the Love?,The Black Eyed Peas & Justin Timberlake,Ron Fair & will.i.am, producers; Dylan Dresdow & Tony Maserati, engineers/mixers;
2005,Here We Go Again,Ray Charles & Norah Jones,John Burk, producer; Mark Fleming, Terry Howard & Al Schmitt, engineers/mixers;
2005,American Idiot,Green Day,Billie Joe Armstrong, Rob Cavallo, Mike Dirnt & Tré Cool, producers; Chris Lord-Alge & Doug McKean, engineers/mixers;
2005,Heaven,Los Lonely Boys,John Porter, producer; Steve Chadie & John Porter, engineers/mixers;
2005,Let's Get It Started,The Black Eyed Peas,will.i.am, producer; Mark Spike Stent & will.i.am, engineers/mixers;
2005,Yeah,Usher featuring Lil Jon & Ludacris,Jonathan Lil Jon Smith, producer; John Frye, Donnie Scantz, Jonathan Lil Jon Smith, The Trak Starz & Mark Vinten, engineers/mixers;
2006,Boulevard of Broken Dreams,Green Day,Rob Cavallo & Green Day, producers; Chris Lord-Alge & Doug McKean, engineers/mixers;
2006,Feel Good Inc.,Gorillaz featuring De La Soul,Jason Cox, Danger Mouse, Dring & Gorillaz, producers; Jason Cox, Danger Mouse & Gorillaz, engineers/mixers;
2006,Gold Digger,Kanye West,Jon Brion & Kanye West, producers; Tom Biller, Andrew Dawson, Mike Dean & Anthony Kilhoffer, engineers/mixers;
2006,Hollaback Girl,Gwen Stefani,The Neptunes, producers; Andrew Coleman & Phil Tan, engineers/mixers;
2006,We Belong Together,Mariah Carey,Mariah Carey, Jermaine Dupri & Manuel Seal, producers; Brian Garten, John Horesco IV & Phil Tan, engineers/mixers;
2007,Not Ready to Make Nice,Dixie Chicks,Rick Rubin, producer; Richard Dodd, Jim Scott & Chris Testa, engineers/mixers;
2007,Be Without You,Mary J. Blige,Bryan-Michael Cox & Ron Fair producers; Danny Cheung, Tal Herzberg, Dave Hard-Drive Pensado & Allen Sides, engineers/mixers;
2007,Crazy,Gnarls Barkley,Danger Mouse, producer; Ben H. Allen, Danger Mouse & Kennie Takahashi, engineers/mixers;
2007,Put Your Records On,Corinne Bailey Rae,Steve Chrisanthou, producer; Steve Chrisanthou & Jeremy Wheatley, engineers/mixers;
2007,You're Beautiful,James Blunt,Tom Rothrock, producer; Tom Rothrock & Mike Tarantino, engineers/mixers;
2008,Rehab,Amy Winehouse,Mark Ronson, producer; Tom Elmhirst, Mark Ronson, Dom Morley, Vaughan Merrick & Gabriel Roth, engineers/mixers;
2008,Irreplaceable,Beyoncé,Beyoncé Knowles, Shaffer Smith & Stargate, producers; Jim Caruana, Jason Goldstein & Geoff Rice, engineers/mixers;
2008,The Pretender,Foo Fighters,Gil Norton, producer; Adrian Bushby & Rich Costey, engineers/mixers;
2008,Umbrella,Rihanna featuring Jay-Z,Kuk Harrell & C. Tricky Stewart, producers; Kuk Harrell & Manny Marroquin, engineers/mixers;
2008,What Goes Around... Comes Around,Justin Timberlake,Nate (Danja) Hills, Timbaland & Justin Timberlake, producers; Jimmy Douglass & Timbaland, engineers/mixers;
2009,Please Read the Letter,Robert Plant & Alison Krauss,T Bone Burnett, producer; Mike Piersante, engineer/mixer;
2009,Bleeding Love,Leona Lewis,Simon Cowell, Clive Davis & Ryan Tedder, producers; Craig Durrance, Phil Tan & Ryan Tedder, engineers/mixers;
2009,Chasing Pavements,Adele,Eg White, producer; Tom Elmhirst & Steve Price, engineer/mixers;
2009,Paper Planes,M.I.A.,Diplo, producer; Switch, engineer/mixer;
2009,Viva la Vida,Coldplay,Markus Dravs, Brian Eno & Rik Simpson, producers; Michael Brauer & Rik Simpson, engineers/mixers;
2010,Use Somebody,Kings of Leon,Jacquire King & Angelo Petraglia, producers; Jacquire King, engineer/mixer;
2010,Halo,Beyoncé,Beyoncé Knowles & Ryan Tedder, producers; Jim Caruana, Mark Spike Stent & Ryan Tedder, engineers/mixers;
2010,I Gotta Feeling,The Black Eyed Peas,David Guetta & Frederick Riesterer, producers; will.i.am, Dylan 3-D Dresdow & Padraic Padlock Kerin, engineers/mixers;
2010,Poker Face,Lady Gaga,RedOne, producer; Robert Orton, RedOne & Dave Russell, engineers/mixers;
2010,You Belong with Me,Taylor Swift,Nathan Chapman & Taylor Swift, producers; Chad Carlson & Justin Niebank, engineers/mixers;
2011,Need You Now,Lady Antebellum,Lady Antebellum & Paul Worley, producers; Clarke Schleicher, engineer/mixer;
2011,Empire State of Mind,Jay-Z featuring Alicia Keys,Angela Hunte, Jane't Jnay Sewell-Ulepic & Al Shux, producers; Ken Duro Ifill, Gimel Young Guru Keaton & Ann Mincieli, engineers/mixers;
2011,F*** You,CeeLo Green,The Smeezingtons, producers;;
2011,Love the Way You Lie,Eminem featuring Rihanna,Alex da Kid & Makeba Riddick, producers; Alex da Kid, Eminem & Mike Strange, engineers/mixers;
